"Status Effective","Account Holder","Quantity of Credits","Retirement Reason","Retirement Reason Details","Credit Serial Numbers","Vintage","Protocol Version","Date Issued","ARB Eligible","Sustainable Development Goal(s)","Project ID","Project Name","Project Site Country","Project Site Location","Project Site State","Project Type",
"03/03/2021","Pachama Inc.","2","On Behalf of Third Party","Bundle 1789","ACR-US-386-2018-813-24506 to 24507","2018","Version 1.0","4/3/2019 9:54:19 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR386","Bluesource - Hudson Farm Improved Forest Management Project","US","Andover, New Jersey","NEW JERSEY","Forest Carbon",
"03/01/2021","Bonneville Environmental Foundation","4105","On Behalf of Third Party","Avocado Green Mattress for Climate Neutral Certification","ACR-US-398-2019-820-60432 to 64536","2019","Version 1.0","4/17/2019 3:10:29 AM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR398","Bluesource - Doe Mountain Improved Forest Management Project","US","Johnson County, Tennessee","TENNESSEE","Forest Carbon",
"02/24/2021","STX Services B.V.","6076","Other","For voluntary use on behalf of Interstate Gas Supply, Inc","ACR-US-126-2014-590-27233 to 33308","2014","Version 1.0","11/22/2016 9:26:21 PM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"02/17/2021","Blue Source","2","On Behalf of Third Party","Retired to offset emissions from event boxes provided by Kirkland & Ellis LLP to attorneys in its investment funds group in conjunction with an internal summit.","ACR-US-499-2018-1026-48120 to 48121","2018","Version 1.0","6/17/2020 1:09:57 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR499","Bluesource - Kootznoowoo IFM Project","US","Prince of Wales","ALASKA","Forest Carbon",
"02/16/2021","Pachama Inc.","19","On Behalf of Third Party","By Humankind 1686","ACR-US-386-2018-813-25639 to 25657","2018","Version 1.0","4/3/2019 9:54:19 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR386","Bluesource - Hudson Farm Improved Forest Management Project","US","Andover, New Jersey","NEW JERSEY","Forest Carbon",
"02/16/2021","Pachama Inc.","19","On Behalf of Third Party","By Humankind 1682","ACR-US-386-2018-813-25620 to 25638","2018","Version 1.0","4/3/2019 9:54:19 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR386","Bluesource - Hudson Farm Improved Forest Management Project","US","Andover, New Jersey","NEW JERSEY","Forest Carbon",
"02/16/2021","Pachama Inc.","2","On Behalf of Third Party","Bundle 1713","ACR-US-386-2018-813-24504 to 24505","2018","Version 1.0","4/3/2019 9:54:19 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR386","Bluesource - Hudson Farm Improved Forest Management Project","US","Andover, New Jersey","NEW JERSEY","Forest Carbon",
"02/16/2021","Pachama Inc.","3","On Behalf of Third Party","Bundle 1713","ACR-US-376-2018-864-1253 to 1255","2018","Version 1.0","7/3/2019 9:30:26 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR376","Blue Source - Massachusetts Tri-City Improved Forest Management Project","US","Hampden and Tolland Counties, Massachusetts","MASSACHUSETTS","Forest Carbon",
"02/15/2021","Arbor Day Foundation","9375","On Behalf of Third Party","Incyte","ACR-US-114-2019-1071-394344 to 403718","2019","Version 1.0","7/31/2020 9:00:05 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"02/10/2021","Just Energy (U.S.) Corp.","356","On Behalf of Third Party","2021 TerraPass retired on behalf of eBay, Inc.","ACR-US-117-2006-126-207395997 to 207396352","2006","Version 1.0","12/3/2008","No","","ACR117","Merit Energy Geo-Seq","US","LaBarge","WYOMING","Carbon Capture & Storage (CCS)",
"02/10/2021","Just Energy (U.S.) Corp.","1976","On Behalf of Third Party","2021 TerraPass retired on behalf of Jackson National Life Insurance","ACR-US-121-2008-139-209823374 to 209825349","2008","Version 1.0","12/31/2008","No","","ACR121","Pike's Peak Geo-Seq","US","Pecos County","TEXAS","Carbon Capture & Storage (CCS)",
