"Vintage","Offset Credit Serial Numbers","Quantity of Offset Credits","Status Effective","Project ID","Project Name","Project Type","Protocol Version","Project Site Location","Project Site State","Project Site Country","Additional Certification(s)","CORSIA Eligible","Account Holder","Retirement Reason","Retirement Reason Details",
"2020","CAR-1-US-888-4-666-TX-2020-6201-1 to 16592","16592","12/22/2020","CAR888","Angelina County Landfill","Landfill Gas Capture/Combustion","Version 3.0","Lufkin","TEXAS","US","","No","Element Markets Emissions, LLC","On Behalf of Third Party","",
"2020","CAR-1-US-1247-37-234-MT-2020-6205-5021 to 5120","100","12/31/2020","CAR1247","Bluesource - Carroll Avoided Grassland Conversion Project","Avoided Grassland Conversion","Version 1.0","Valley County, MT","MONTANA","US","","No","Natural Capital Partners","On Behalf of Third Party","",
"2020","CAR-1-US-1247-37-234-MT-2020-6205-5121 to 5421","301","02/02/2021","CAR1247","Bluesource - Carroll Avoided Grassland Conversion Project","Avoided Grassland Conversion","Version 1.0","Valley County, MT","MONTANA","US","","No","Natural Capital Partners","On Behalf of Third Party","",
"2020","CAR-1-US-1247-37-234-MT-2020-6205-1 to 20","20","12/31/2020","CAR1247","Bluesource - Carroll Avoided Grassland Conversion Project","Avoided Grassland Conversion","Version 1.0","Valley County, MT","MONTANA","US","","No","Natural Capital Partners","On Behalf of Third Party","",
"2020","CAR-1-US-1247-37-234-MT-2020-6205-21 to 5020","5000","12/31/2020","CAR1247","Bluesource - Carroll Avoided Grassland Conversion Project","Avoided Grassland Conversion","Version 1.0","Valley County, MT","MONTANA","US","","No","Natural Capital Partners","On Behalf of Third Party","",
"2020","CAR-1-US-1335-31-983-KS-2020-6132-1 to 87987","87987","11/10/2020","CAR1335","Coffeyville NAP2","Nitric Acid N2O- Tertiary Catalyst","Version 2.2","Coffeyville, Kansas","KANSAS","US","","No","ClimeCo Corp MCK NAP2, LLC.","On Behalf of Third Party","",
"2020","CAR-1-US-639-30-449-TX-2020-6213-1 to 327107","327107","01/07/2021","CAR639","El Dorado Nitrogen, LP - Nitrous Oxide Abatement Project","Nitric Acid N2O- Secondary Catalyst","Version 2.1","Chambers County; near Baytown","TEXAS","US","","No","LSB Industries, Inc.","On Behalf of Third Party","anonymous retirement",
"2020","CAR-1-US-635-4-207-OH-2020-6270-1 to 55944","55944","02/12/2021","CAR635","Hancock County Landfill Gas Collection Project","Landfill Gas Capture/Combustion","Version 5.0","Hancock County","OHIO","US","","No","3Degrees Group, Inc","On Behalf of Third Party","",
"2020","CAR-1-US-1238-37-925-CO-2020-6256-1 to 313","313","02/02/2021","CAR1238","Heartland Ranch Phase 1","Avoided Grassland Conversion","Version 2.1","Bent County","COLORADO","US","","No","Natural Capital Partners","On Behalf of Third Party","",
"2020","CAR-1-US-674-4-472-NY-2020-6209-1 to 106310","106310","12/22/2020","CAR674","Oneida Herkimer Landfill Ava, NY","Landfill Gas Capture/Combustion","Version 3.0","Ava, NY","NEW YORK","US","","No","Oneida Herkimer Solid Waste Authority","On Behalf of Third Party","retire anonymously",
